city,temperature,humidity,pressure
Andorra la Vella,4.56,93,1013
Abu Dhabi,32.01,23,1014
Kabul,15.16,5,1016
St. John's,2.83,79,989
The Valley,27.92,76,1014
Tirana,15.49,77,1014
Yerevan,15.09,33,1021
Luanda,26.94,68,1011
None,11.94,58,1014
Buenos Aires,15.63,74,1015
Pago Pago,27.55,83,1014
Vienna,12.37,74,1015
Canberra,19.32,46,1007
Oranjestad,27.51,84,1010
Mariehamn,10.92,93,1012
Baku,20.03,64,1021
Sarajevo,2.95,100,1017
Bridgetown,26.27,83,1012
Dhaka,29.99,58,1008
Brussels,13.69,75,1009
Ouagadougou,32.71,36,1011
Sofia,13.77,56,1018
Manama,28.88,53,1017
Bujumbura,27.88,60,1011
Porto-Novo,29.78,64,1012
Gustavia,26.9,86,1014
Hamilton,8.86,54,1008
Bandar Seri Begawan,27.99,89,1009
Sucre,13.97,68,1007
Kralendijk,27.99,78,1011
Brasília,22.5,79,1016
Nassau,2.93,43,1020
Thimphu,13.45,53,1012
Gaborone,22.95,64,1015
Minsk,9.22,88,1022
Belmopan,22.18,98,1013
Ottawa,-1.23,86,1015
West Island,27.99,69,1010
Kinshasa,28.63,67,1011
Bangui,29.51,60,1011
Brazzaville,28.55,66,1011
Bern,8.73,70,1011
Yamoussoukro,28.45,67,1013
Avarua,26.03,83,1017
Santiago,8.96,85,1022
Yaoundé,20.83,94,1013
Beijing,6.94,74,1027
Bogotá,9.71,99,1018
San José,11.59,88,1022
Havana,23.24,94,1014
Praia,28.3,61,1014
Willemstad,27.66,83,1011
Flying Fish Cove,25.82,88,1009
Nicosia,25.83,47,1015
Prague,8.66,85,1014
Berlin,10.52,79,1013
Djibouti,29.09,38,1011
Copenhagen,10.01,85,1012
Roseau,25.96,80,1014
Santo Domingo,25.58,89,1014
Algiers,18.9,52,1017
Quito,5.53,84,1017
Tallinn,11.3,99,1014
Cairo,28.42,32,1015
Asmara,19.91,40,1013
Madrid,10.7,85,1017
Addis Ababa,21.49,37,1012
Helsinki,10.21,99,1012
Suva,23.71,100,1015
Stanley,10.52,97,1004
Palikir,24.75,98,1011
Tórshavn,9.66,92,1001
Paris,11.69,98,1009
Libreville,23.83,88,1013
London,15.21,87,1005
St. George's,26.94,84,1011
Tbilisi,17.84,45,1021
Cayenne,24.02,100,1012
St Peter Port,14.61,88,1004
Accra,26.74,80,1013
Gibraltar,17.97,63,1019
Nuuk,7.34,36,998
Bathurst,17.64,85,1009
Conakry,28.04,78,1013
Basse-Terre,22.58,100,1014
Malabo,27.92,94,1013
Athens,20.83,58,1014
Grytviken,1.45,74,1003
Guatemala City,15.35,97,1018
Hagåtña,27.34,93,1009
Bissau,30.06,70,1012
Georgetown,27.97,74,1007
Hong Kong,25.08,82,1013
Tegucigalpa,19.14,100,1018
Zagreb,5.82,93,1018
Port-au-Prince,22.94,86,1014
Budapest,11.37,69,1019
Jakarta,30.97,66,1006
Dublin,11.17,91,1022
Douglas,6.81,79,1006
New Delhi,28.82,14,1012
Baghdad,30.95,18,1016
Tehran,18.73,20,1021
Reykjavik,4.81,48,1004
Rome,9.55,91,1016
Saint Helier,14.36,84,1004
Kingston,24.53,83,1013
Amman,25.05,11,1016
Tokyo,15.83,38,1021
Nairobi,26.22,38,1011
Bishkek,5.11,53,1025
Phnom Penh,27.19,82,1006
Tarawa,28.05,78,1012
Moroni,26.03,82,1014
Basseterre,25.21,94,1014
Pyongyang,12.27,63,1025
Seoul,15.16,58,1024
Kuwait City,25.99,22,1016
George Town,27.97,74,1007
Astana,-2.03,93,1020
Vientiane,27.73,78,1005
Beirut,25.41,69,1015
Castries,25.87,100,1013
Vaduz,14.78,47,1012
Colombo,28.97,75,1009
Monrovia,26.88,77,1013
Maseru,25.05,30,1015
Vilnius,8.51,96,1021
Luxembourg,10.77,78,1010
Riga,11.69,80,1017
Tripoli,25.92,27,1014
Rabat,19.04,63,1020
Monaco,14.8,85,1011
Chişinău,9.24,76,1023
Podgorica,15.88,55,1014
Marigot,27.88,89,1014
Antananarivo,30.98,33,1010
Majuro,28.98,79,1012
Skopje,11.82,87,1016
Bamako,31.23,48,1012
Ulan Bator,-2.93,93,1015
Macao,24.85,88,1014
Saipan,28.39,89,1009
Fort-de-France,25.97,89,1013
Nouakchott,28.96,29,1012
Plymouth,-1.4,82,1020
Valletta,23.3,73,1013
Port Louis,25.79,100,1014
Malé,29.97,66,1011
Lilongwe,29.63,37,1012
Mexico City,8.96,71,1017
Kuala Lumpur,28.65,44,1007
Maputo,23.46,75,1021
Windhoek,28.01,41,1010
Noumea,23.56,78,1014
Niamey,34.93,13,1011
Abuja,31.9,35,1011
Managua,20.94,89,1011
Amsterdam,12.01,87,1009
Oslo,10.14,96,1011
Kathmandu,22.12,56,1012
Yaren,28.34,76,1011
Alofi,23.94,94,1016
Wellington,13.72,81,1015
Muscat,29.68,27,1015
Panama City,23.85,95,1010
Lima,17.72,86,1012
Papeete,24.96,73,1016
Port Moresby,26.25,86,1008
Manila,29.73,82,1010
Islamabad,26.58,28,1013
Warsaw,9.51,82,1019
Saint-Pierre,26.82,65,1015
Adamstown,22.72,82,1016
San Juan,15.92,46,1016
Lisbon,19.5,82,1017
Melekeok,25.91,89,1004
Asunción,25.69,78,1003
Doha,29.99,51,1015
Saint-Denis,11.75,97,1009
Bucharest,8.63,92,1019
Belgrade,11.17,82,1017
Moscow,9.71,75,1017
Kigali,24.29,61,1010
Riyadh,27.44,11,1016
Honiara,25.94,90,1012
Victoria,25.08,82,1013
Khartoum,34.58,13,1009
Stockholm,11.03,92,1012
Singapore,31.86,53,1006
Jamestown,2.08,77,1013
Ljubljana,7.28,87,1018
Longyearbyen,-1.09,80,1012
Bratislava,11.19,74,1017
Freetown,28.41,72,1013
San Marino,10.58,81,1013
Dakar,30.7,75,1012
Mogadishu,28.42,66,1010
Paramaribo,24.95,88,1012
Juba,34.93,31,1007
São Tomé,25.59,84,1013
San Salvador,18.82,100,1011
Philipsburg,27.97,89,1014
Damascus,26.42,14,1015
Mbabane,13.24,87,1023
Cockburn Town,27.44,74,1014
N'Djamena,34.98,15,1010
Port-aux-Français,3.02,98,1010
Lomé,29.31,67,1012
Bangkok,29.59,67,1007
Dushanbe,15.9,18,1022
Dili,27.55,81,1010
Ashgabat,17.92,29,1024
Tunis,23.6,46,1014
Nuku'alofa,23.19,94,1016
Ankara,20.66,42,1014
Port of Spain,24.94,93,1011
Funafuti,29.0,79,1013
Taipei,25.56,68,1014
Dodoma,32.13,24,1009
Kiev,8.73,82,1024
Kampala,27.17,49,1010
Washington,8.24,55,1011
Montevideo,15.11,77,1016
Tashkent,10.97,35,1025
Vatican City,16.63,45,1012
Kingstown,26.6,89,1012
Caracas,21.21,85,1015
Road Town,25.92,76,1014
Charlotte Amalie,25.85,83,1014
Hanoi,24.0,94,1011
Port Vila,23.78,94,1014
Mata-Utu,28.2,79,1014
Apia,25.51,80,1014
Pristina,8.81,92,1015
Sanaa,20.95,17,1015
Mamoudzou,28.79,70,1012
Pretoria,20.93,68,1017
Lusaka,28.26,38,1011
Harare,21.23,64,1015
